#    object_id            ra              dec               x                y          realized_flux         flux             mag            obj_type     
  10430000698193   7.60518516e+00  -4.48366542e+01   4.54217527e+03   4.23413073e+01   6.03000000e+02   5.81317171e+02   8.11251431e+00           galaxy
  10430000698194   7.49956425e+00  -4.48236507e+01   2.67747913e+03   1.81745875e+03   1.71000000e+02   1.56954985e+02   9.53410941e+00           galaxy
  10430000698195   7.49675740e+00  -4.48235751e+01   2.62305489e+03   1.85660089e+03   7.20000000e+01   5.90122201e+01   1.05961923e+01           galaxy
  10430000698197   7.50234081e+00  -4.48224457e+01   2.75423548e+03   1.81666750e+03   2.42300000e+03   2.38358986e+03   6.58046837e+00           galaxy
  10430000698198   7.50165534e+00  -4.48236674e+01   2.71873533e+03   1.78947442e+03   3.90000000e+01   2.74751616e+01   1.14261966e+01           galaxy
  10430000698199   7.50095591e+00  -4.48235853e+01   2.70630689e+03   1.80110341e+03   1.62600000e+04   1.61650916e+04   4.50210177e+00           galaxy
  10430000698236   7.47534899e+00  -4.48817640e+01   1.15602726e+03   4.13129633e+02   1.11000000e+02   9.77055566e+01   1.00487490e+01           galaxy
  10430000698828   7.39946419e+00  -4.48676842e+01  -9.95196050e+01   1.82616481e+03   1.68430000e+04   1.67463768e+04   4.46374504e+00           galaxy
  10430000698829   7.39944310e+00  -4.48677536e+01  -1.01178731e+02   1.82438355e+03   3.86800000e+03   3.81933778e+03   6.06857702e+00           galaxy
  10430000698830   7.40105253e+00  -4.48679559e+01  -7.28115810e+01   1.79728148e+03   4.20000000e+01   2.88930504e+01   1.13715637e+01           galaxy
  10430000698919   7.50840041e+00  -4.48019426e+01   3.24187699e+03   2.34459167e+03   1.10000000e+01   9.73471344e+00   1.25527393e+01           galaxy
  10430000698920   7.51087251e+00  -4.48013847e+01   3.30101018e+03   2.32860530e+03   1.30600000e+04   1.29744222e+04   4.74082712e+00           galaxy
  10430000698921   7.50927321e+00  -4.48003666e+01   3.28745430e+03   2.37981399e+03   2.84000000e+02   2.67922581e+02   8.95352390e+00           galaxy
  10430000698924   7.51038364e+00  -4.48012207e+01   3.29422990e+03   2.33989630e+03   4.60000000e+01   3.01308230e+01   1.13260197e+01           galaxy
  10430000698925   7.50957983e+00  -4.47993792e+01   3.31123489e+03   2.40504103e+03   1.13000000e+02   9.98712888e+01   1.00249456e+01           galaxy
  10430000699031   7.47956205e+00  -4.48974226e+01   9.59374519e+02  -1.06326128e+02   6.21900000e+03   6.15899733e+03   5.54977215e+00           galaxy
